TP_GRAU_ACADEMICO;CO_CURSO;IN_GRATUITO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_SIT_TRANCADA;QT_SIT_FALECIDO;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA
1.0;1330352;1;1;60;0;60;0;44;0;16;0;101;0;101;0;85;0;16;0;43;11;32;0;43;39;0;39;0;0;0;0;0;4;0;0;0;36;4;1;1;0;1;0;19;4;19;0;0;1;186;42;144;0;186;0;133;31;10;6;5;1;0;67;13;83;2;0;21;16;6;10;0;16;0;11;4;0;0;1;0;0;5;2;8;0;0;1;43;0;186;0;16;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;33;13;1;17;0;6;6;2;0;3;0;14;0;37;6;0;172;14;0;15;1;0;0;0;0;0;81;2;78;3;82;2;79;3;0;0;0;0
3.0;1636785;1;1;42;0;42;0;39;0;3;0;81;0;81;0;78;0;3;0;42;8;34;0;42;39;39;0;0;0;0;0;0;3;0;0;0;32;5;2;3;0;0;0;24;4;11;1;0;2;32;5;27;0;32;0;25;5;0;2;0;0;0;20;3;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;32;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;4;0;30;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.0;14098;1;1;114;114;0;0;82;0;32;0;1886;1886;0;0;1183;0;703;0;107;18;89;107;0;78;12;66;0;0;0;0;0;28;0;1;1;95;6;3;1;1;0;0;55;5;41;3;0;3;430;56;374;430;0;1;344;70;12;1;1;1;0;225;28;158;3;1;15;27;4;23;27;0;0;15;11;1;0;0;0;0;13;1;12;0;0;1;106;1;424;6;27;0;15;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;20;3;18;0;185;185;100;6;81;0;13;13;6;0;4;0;47;0;50;57;0;222;208;0;16;11;0;0;0;0;0;24;3;17;4;83;10;79;8;1;0;1;0
1.0;18952;1;1;85;85;0;0;82;0;3;0;869;869;0;0;640;0;229;0;80;9;71;80;0;77;8;69;0;0;0;0;0;3;0;0;1;76;2;0;0;0;1;0;43;7;27;2;0;1;410;53;357;318;92;1;299;85;14;4;4;2;1;207;27;154;5;1;16;39;9;30;24;15;0;10;25;2;1;1;0;0;19;1;15;1;0;3;80;0;406;4;39;0;10;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;35;17;1;17;0;162;162;92;5;80;0;13;13;4;0;6;0;71;0;38;42;0;196;214;0;17;22;0;0;0;0;0;24;3;19;3;58;3;50;5;3;0;3;0
1.0;121570;1;1;48;0;48;0;41;0;7;0;2192;0;2192;0;1036;0;1156;0;48;7;41;0;48;42;10;32;0;0;0;0;0;6;0;0;2;43;2;1;0;0;0;0;25;7;14;0;1;1;216;31;185;0;216;2;161;35;13;3;2;0;0;108;15;82;2;2;7;14;2;12;0;14;0;4;5;4;1;0;0;0;7;3;3;0;0;1;48;0;214;2;14;0;11;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;23;14;2;9;0;106;106;57;5;49;0;3;3;3;0;1;0;31;0;27;21;0;119;97;0;6;8;0;0;0;0;0;17;2;15;2;46;9;43;4;0;0;0;0
1.0;1495673;1;1;43;43;0;0;41;0;2;0;387;387;0;0;260;0;127;0;41;7;34;41;0;39;6;33;0;0;0;0;0;2;0;0;0;36;4;1;0;0;0;0;28;3;10;0;0;0;142;25;117;142;0;0;126;10;4;0;1;1;0;80;10;49;1;0;2;14;1;13;14;0;0;14;0;0;0;0;0;0;9;2;2;0;0;1;41;0;142;0;14;0;6;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;11;2;8;0;64;64;36;4;28;0;6;6;2;0;2;0;4;0;20;21;0;76;66;0;7;7;0;0;0;0;0;11;2;8;1;22;8;22;2;0;0;0;0
1.0;123429;1;1;56;0;56;0;41;0;15;0;1072;0;1072;0;534;0;538;0;49;7;42;0;49;36;4;32;0;0;0;0;0;13;0;0;0;45;4;0;0;0;0;0;31;2;16;0;0;0;259;27;232;0;259;0;172;63;20;1;2;1;0;132;21;100;4;0;2;28;2;26;0;28;0;12;12;3;0;0;1;0;13;0;15;0;0;0;49;0;258;1;28;0;13;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;10;0;10;0;104;104;61;1;50;0;13;13;9;0;8;0;46;0;24;25;0;127;132;0;14;14;0;0;0;0;0;14;5;12;2;30;6;25;1;0;0;0;0
1.0;1191217;1;1;38;0;38;0;30;0;8;0;765;0;765;0;719;0;46;0;35;9;26;0;35;30;5;25;0;0;0;0;0;5;0;0;0;22;7;3;2;1;0;0;13;6;16;0;0;0;141;27;114;0;141;0;55;48;23;7;8;0;0;70;9;60;1;0;1;10;0;10;0;10;0;4;5;0;0;1;0;0;6;0;4;0;0;0;35;0;140;1;10;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;4;0;5;0;38;38;19;2;19;0;1;1;1;0;0;0;13;0;22;13;0;93;48;0;5;5;0;0;0;0;0;16;3;13;1;20;3;20;1;2;0;2;0
1.0;1562765;1;1;40;0;40;0;40;0;0;0;151;0;151;0;151;0;0;0;40;8;32;0;40;40;12;28;0;0;0;0;0;0;0;0;0;33;3;2;2;0;0;0;21;1;18;0;0;0;92;20;72;0;92;0;75;10;3;3;1;0;0;48;6;35;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;92;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;2;0;2;0;15;15;3;1;5;0;0;0;0;0;0;0;13;0;28;12;0;66;26;0;0;0;0;0;0;0;0;28;10;28;0;28;7;28;0;0;0;0;0
1.0;1515683;1;1;51;51;0;0;40;0;11;0;141;141;0;0;138;0;3;0;32;7;25;32;0;31;1;30;0;0;0;0;0;1;0;0;0;29;1;0;2;0;0;0;13;1;14;0;0;4;56;10;46;56;0;0;52;1;1;2;0;0;0;28;1;23;0;0;4;7;2;5;7;0;0;7;0;0;0;0;0;0;2;0;5;0;0;0;32;0;56;0;7;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;6;0;30;2;0;50;6;0;5;2;0;0;0;0;0;0;0;0;0;14;4;14;5;0;0;0;0
1.0;60462;1;1;147;0;147;0;40;0;106;1;87;0;87;0;84;0;3;0;40;5;35;0;40;38;38;0;0;0;0;0;0;2;0;0;1;23;9;4;2;1;0;0;12;6;17;3;0;2;74;15;59;0;74;1;44;14;7;4;4;0;0;19;8;36;6;0;5;8;1;7;0;8;0;4;2;0;0;2;0;0;1;1;5;0;0;1;40;0;74;0;8;0;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;1;1;0;0;24;21;1;2;0;0;4;3;0;1;0;0;0;0;38;2;0;72;2;0;8;0;0;0;0;0;0;6;3;6;0;3;0;3;0;0;0;0;0
1.0;112893;1;1;58;58;0;0;51;0;7;0;54;54;0;0;49;0;5;0;54;11;43;54;0;49;1;48;0;0;0;0;0;5;0;0;1;50;3;0;0;0;0;0;35;1;17;0;1;0;177;24;153;177;0;1;148;25;2;1;0;0;0;96;10;63;3;0;5;13;2;11;13;0;0;6;6;1;0;0;0;0;2;0;9;1;0;1;54;0;177;0;13;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;9;0;10;0;82;82;39;2;32;0;7;7;3;0;4;0;6;0;36;18;0;126;51;0;11;2;0;0;0;0;0;165;50;155;12;33;0;33;5;0;0;0;0
3.0;83436;1;1;48;0;48;0;30;0;18;0;217;0;217;0;183;0;34;0;31;3;28;0;31;30;7;21;0;2;0;0;0;1;0;0;0;26;5;0;0;0;0;0;13;5;13;0;0;0;89;17;72;0;89;0;59;14;8;2;5;1;0;38;7;43;1;0;0;4;0;4;0;4;0;1;2;0;1;0;0;0;3;0;1;0;0;0;31;0;89;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;7;0;5;0;16;16;9;1;9;0;0;0;0;0;0;0;39;0;27;4;0;72;17;0;3;1;0;0;0;0;0;6;4;6;0;3;2;3;0;0;0;0;0
1.0;1191224;1;1;44;0;44;0;34;0;10;0;181;0;181;0;175;0;6;0;35;5;30;0;35;32;7;25;0;0;0;0;0;3;0;0;0;27;3;2;1;2;0;0;15;5;14;0;0;1;132;28;104;0;132;0;69;41;11;6;5;0;0;54;19;58;1;0;0;5;0;5;0;5;0;1;3;1;0;0;0;0;1;0;4;0;0;0;35;0;132;0;5;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;1;0;1;0;31;31;14;0;13;0;2;2;2;0;1;0;65;0;31;4;0;121;11;0;3;2;0;0;0;0;0;44;11;42;1;27;5;27;1;0;0;0;0
1.0;17077;0;1;347;0;347;0;80;0;267;0;43;0;43;0;37;0;6;0;33;3;30;0;33;27;16;11;0;0;0;0;0;6;0;0;0;28;2;2;1;0;0;0;9;5;16;1;0;2;53;5;48;0;53;0;44;7;2;0;0;0;0;18;5;28;1;0;1;2;0;2;0;2;0;1;1;0;0;0;0;0;2;0;0;0;0;0;33;0;53;0;2;0;0;0;0;0;12;9;0;0;9;4;0;0;4;0;21;18;0;0;18;5;0;0;5;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;26;7;0;46;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
